followers_count,following_count,tweet_count,listed_count,date
11763,2928,19099,854,2022-11-08
11761,2928,19099,853,2022-11-09
11761,2929,19118,853,2022-11-10
11759,2932,19118,851,2022-11-11
11758,2933,19120,851,2022-11-12
11757,2933,19120,852,2022-11-13
11756,2933,19121,852,2022-11-14
11752,2934,19122,853,2022-11-15
11752,2935,19124,853,2022-11-16
11756,2937,19124,853,2022-11-17
11743,2934,19125,852,2022-11-18
11744,2936,19125,852,2022-11-19
11729,2934,19127,850,2022-11-20
11713,2928,19134,850,2022-11-21
11712,2928,19135,850,2022-11-22
11708,2926,19137,0,2022-11-23
11705,2926,19138,850,2022-11-24
11701,2923,19137,850,2022-11-25
11700,2923,19138,850,2022-11-26
11696,2922,19136,850,2022-11-27
11696,2923,19138,850,2022-11-28
11695,2923,19139,849,2022-11-29
11701,2929,19140,849,2022-11-30
11702,2931,19142,849,2022-12-01
11698,2929,19140,849,2022-12-02
11692,2929,19127,849,2022-12-03
11693,2929,19127,848,2022-12-04
11692,2930,19129,848,2022-12-05
11692,2931,19129,848,2022-12-06
11692,2931,19131,848,2022-12-07
11692,2932,19131,848,2022-12-08
11693,2932,19131,848,2022-12-09
11691,2932,19131,848,2022-12-10
11686,2932,19131,847,2022-12-11
11683,2932,19132,848,2022-12-12
